S.No,Name,Ticker,CMP Rs.,Vol 1d,ROCE %
107.,Arfin India,ARFIN,38.63,1991290,13.97
108.,Parag Milk Foods,PARAGMILK,244.50,2889800,13.96
109.,Samvardh. Mothe.,MOTHERSON,97.45,13627623,13.94
110.,Paradeep Phosph.,PARADEEP,185.00,26583379,13.92
111.,JSW Infrast,JSWINFRA,320.00,1667406,13.92
112.,Sambhv Steel,SAMBHV,141.46,70106061,13.92
113.,Filatex India,FILATEX,61.85,3425118,13.85
114.,Colab Platforms,542866,48.53,1758658,13.61
115.,Le Travenues,IXIGO,201.00,18977393,13.60
116.,Syngene Intl.,SYNGENE,676.25,1761189,13.52
117.,Indogulf Cropsci,IGCL,117.00,3392764,13.48
118.,BCL Industries,BCLIND,45.00,4283439,13.31
119.,Edelweiss.Fin.,EDELWEISS,112.95,5097306,13.27
120.,Electrost.Cast.,ELECTCAST,113.00,1607179,13.24
121.,GMR Urban,GMRP&UI,115.65,1418559,13.24
122.,JTL Industries,JTLIND,80.96,5980495,13.17
123.,Paisalo Digital,PAISALO,32.89,75957062,13.13
124.,Vishal Mega Mart,VMM,143.20,24749403,13.11
125.,K C P,KCP,222.75,2157354,12.99
126.,Oil India,OIL,440.00,1637154,12.97
127.,Power Grid Corpn,POWERGRID,297.85,9047909,12.89
128.,AVT Natural Prod,AVTNPL,75.85,2018322,12.84
129.,Lemon Tree Hotel,LEMONTREE,159.90,4014724,12.71
130.,RattanIndia Ent,RTNINDIA,59.35,4962619,12.70
131.,Jayaswal Neco,JAYNECOIND,36.00,20717838,12.57
132.,O N G C,ONGC,245.10,6736609,12.42
133.,Syrma SGS Tech.,SYRMA,711.00,1423965,12.41
134.,Brightcom Group,BCG,14.33,15557805,12.32
135.,Arisinfra Solu.,ARISINFRA,153.00,1387883,12.26
136.,Ircon Intl.,IRCON,191.80,2763833,12.10
137.,Shyam Metalics,SHYAMMETL,940.00,1388527,12.05
138.,Apeejay Surrend.,PARKHOTELS,166.95,1596374,11.99
139.,Schloss Bangal.,THELEELA,468.00,2491344,11.98
140.,Fortis Health.,FORTIS,810.05,1619711,11.96
141.,Sai Silks,KALAMANDIR,174.50,2181901,11.95
142.,PCBL Chemical,PCBL,417.45,1009869,11.86
143.,ICICI Pru Life,ICICIPRULI,625.85,1490583,11.83
144.,SBFC Finance,SBFC,121.00,2996288,11.55
145.,Inox Wind,INOXWIND,163.20,3142514,11.47
146.,Aadhar Hsg. Fin.,AADHARHFC,524.20,2439667,11.42
147.,Bajaj Finance,BAJFINANCE,949.00,6770365,11.35
148.,Prakash Industri,PRAKASH,183.00,1159395,11.29
149.,Steel Exchange,STEELXIND,10.70,1420492,11.29
150.,Capri Global,CGCL,182.00,3188753,11.18
151.,Anant Raj,ANANTRAJ,571.50,2270271,11.17
152.,Manappuram Fin.,MANAPPURAM,268.00,2803077,11.04
153.,Tour. Fin. Corp.,TFCILTD,258.00,1601975,11.01
154.,Shriram Finance,SHRIRAMFIN,654.90,4801325,10.95
155.,CESC,CESC,181.00,1664149,10.88
156.,Jindal Steel,JINDALSTEL,964.95,1955641,10.84
157.,Tata Power Co.,TATAPOWER,395.00,4343029,10.81
158.,NTPC,NTPC,337.00,5020447,10.76
159.,NLC India,NLCINDIA,241.20,8546309,10.75
160.,Gateway Distri,GATEWAY,69.10,1064729,10.75
161.,H P C L,HINDPETRO,427.00,4320470,10.51
162.,Ambuja Cements,AMBUJACEM,626.00,6169753,10.50
163.,Sh.Renuka Sugar,RENUKA,31.00,3828749,10.46
164.,Northern ARC,NORTHARC,271.00,1853518,10.33
165.,S H Kelkar & Co.,SHK,267.90,1253002,10.29
166.,JP Power Ven.,JPPOWER,21.85,100293443,10.26
167.,Jindal Worldwide,JINDWORLD,41.44,4099097,10.23
168.,Finolex Inds.,FINPIPE,203.00,1250234,10.16
169.,Sindhu Trade,SINDHUTRAD,30.50,2206774,10.06
170.,REC Ltd,RECLTD,396.00,9284731,9.96
171.,HDB FINANC SER,HDBFS,800.35,2159268,9.79
172.,Shriram Properti,SHRIRAMPPS,100.50,5316977,9.76
173.,Power Fin.Corpn.,PFC,414.95,3618763,9.73
