Symbol
NSE:OSWALPUMPS-EQ
NSE:HINDZINC-EQ
NSE:HINDMOTORS-EQ
NSE:CASTROLIND-EQ
NSE:IEX-EQ
NSE:COALINDIA-EQ
NSE:CRIZAC-EQ
NSE:MARICO-EQ
NSE:NATIONALUM-EQ
NSE:MSUMI-EQ
NSE:BLUEJET-EQ
NSE:BEL-EQ
NSE:CGPOWER-EQ
NSE:AVANTEL-EQ
NSE:ITC-EQ
NSE:JAIBALAJI-EQ
NSE:MAMATA-EQ
NSE:ANTHEM-EQ
NSE:RELINFRA-EQ
NSE:NBCC-EQ
NSE:BLS-EQ
NSE:RAJOOENG-EQ
NSE:SUZLON-EQ
NSE:EIEL-EQ
NSE:ARKADE-EQ
NSE:TRANSRAILL-EQ
NSE:GARUDA-EQ
NSE:PROSTARM-EQ
NSE:NMDC-EQ
NSE:INDUSTOWER-EQ
NSE:KNRCON-EQ
NSE:TI-EQ
NSE:QPOWER-EQ
NSE:GABRIEL-EQ
NSE:RADHIKAJWE-EQ
NSE:HCC-EQ
NSE:PETRONET-EQ
NSE:ENGINERSIN-EQ
NSE:VEDL-EQ
NSE:DENTA-EQ
NSE:GPPL-EQ
NSE:VBL-EQ
NSE:NILASPACES-EQ
NSE:HINDCOPPER-EQ
NSE:MANINFRA-EQ
NSE:SKYGOLD-EQ
NSE:GLOBECIVIL-EQ
NSE:MCLOUD-EQ
NSE:ADANIPOWER-EQ
NSE:AEROFLEX-EQ
NSE:SPUNWEB-EQ
NSE:NCC-EQ
NSE:HSCL-EQ
NSE:CHOICEIN-EQ
NSE:IGL-EQ
NSE:ZENSARTECH-EQ
NSE:BSOFT-EQ
NSE:EASEMYTRIP-EQ
NSE:AWL-EQ
NSE:VSTIND-EQ
NSE:ARIHANTCAP-EQ
NSE:DABUR-EQ
NSE:AGI-EQ
NSE:MARKSANS-EQ
NSE:TATAMOTORS-EQ
NSE:STALLION-EQ
NSE:AFCONS-EQ
NSE:WIPRO-EQ
NSE:PGEL-EQ
NSE:BAJAJCON-EQ
NSE:20MICRONS-EQ
NSE:MOIL-EQ
NSE:CROMPTON-EQ
NSE:REDINGTON-EQ
NSE:THOMASCOOK-EQ
NSE:SDBL-EQ
NSE:SONACOMS-EQ
NSE:SBC-EQ
NSE:TIMETECHNO-EQ
NSE:KELLTONTEC-EQ
NSE:INDHOTEL-EQ
NSE:CUPID-EQ
NSE:MGEL-EQ
NSE:BPCL-EQ
NSE:PENIND-EQ
NSE:SWSOLAR-EQ
NSE:SIGACHI-EQ
NSE:543828-EQ
NSE:VINCOFE-EQ
NSE:SINCLAIR-EQ
NSE:PATELENG-EQ
NSE:LATENTVIEW-EQ
NSE:HINDALCO-EQ
NSE:MOREPENLAB-EQ
NSE:APTUS-EQ
NSE:RVNL-EQ
NSE:UNITEDPOLY-EQ
NSE:MOTISONS-EQ
NSE:APOLLO-EQ
NSE:WELSPUNLIV-EQ
NSE:KALYANKJIL-EQ
NSE:BELRISE-EQ
NSE:SWANENERGY-EQ
NSE:ASHOKLEY-EQ
NSE:GMDCLTD-EQ
NSE:GAIL-EQ
NSE:ARFIN-EQ
NSE:PARAGMILK-EQ
NSE:MOTHERSON-EQ
NSE:PARADEEP-EQ
NSE:JSWINFRA-EQ
NSE:SAMBHV-EQ
NSE:FILATEX-EQ
NSE:542866-EQ
NSE:IXIGO-EQ
NSE:SYNGENE-EQ
NSE:IGCL-EQ
NSE:BCLIND-EQ
NSE:EDELWEISS-EQ
NSE:ELECTCAST-EQ
NSE:GMRP&UI-EQ
NSE:JTLIND-EQ
NSE:PAISALO-EQ
NSE:VMM-EQ
NSE:KCP-EQ
NSE:OIL-EQ
NSE:POWERGRID-EQ
NSE:AVTNPL-EQ
NSE:LEMONTREE-EQ
NSE:RTNINDIA-EQ
NSE:JAYNECOIND-EQ
NSE:ONGC-EQ
NSE:SYRMA-EQ
NSE:BCG-EQ
NSE:ARISINFRA-EQ
NSE:IRCON-EQ
NSE:SHYAMMETL-EQ
NSE:PARKHOTELS-EQ
NSE:THELEELA-EQ
NSE:FORTIS-EQ
NSE:KALAMANDIR-EQ
NSE:PCBL-EQ
NSE:ICICIPRULI-EQ
NSE:SBFC-EQ
NSE:INOXWIND-EQ
NSE:AADHARHFC-EQ
NSE:BAJFINANCE-EQ
NSE:PRAKASH-EQ
NSE:STEELXIND-EQ
NSE:CGCL-EQ
NSE:ANANTRAJ-EQ
NSE:MANAPPURAM-EQ
NSE:TFCILTD-EQ
NSE:SHRIRAMFIN-EQ
NSE:CESC-EQ
NSE:JINDALSTEL-EQ
NSE:TATAPOWER-EQ
NSE:NTPC-EQ
NSE:NLCINDIA-EQ
NSE:GATEWAY-EQ
NSE:HINDPETRO-EQ
NSE:AMBUJACEM-EQ
NSE:RENUKA-EQ
NSE:NORTHARC-EQ
NSE:SHK-EQ
NSE:JPPOWER-EQ
NSE:JINDWORLD-EQ
NSE:FINPIPE-EQ
NSE:SINDHUTRAD-EQ
NSE:RECLTD-EQ
NSE:HDBFS-EQ
NSE:SHRIRAMPPS-EQ
NSE:PFC-EQ
NSE:ITCHOTELS-EQ
NSE:HUDCO-EQ
NSE:BLKASHYAP-EQ
NSE:NYKAA-EQ
NSE:NELCAST-EQ
NSE:BAJAJHFL-EQ
NSE:TRIDENT-EQ
NSE:SAGILITY-EQ
NSE:SAMHI-EQ
NSE:JMFINANCIL-EQ
NSE:IREDA-EQ
NSE:ABCAPITAL-EQ
NSE:IRBINVIT-EQ
NSE:ZEEL-EQ
NSE:BHAGYANGR-EQ
NSE:SPICEJET-EQ
NSE:LICHSGFIN-EQ
NSE:SPMLINFRA-EQ
NSE:IOLCP-EQ
NSE:ORIENTCEM-EQ
NSE:TATASTEEL-EQ
NSE:IIFL-EQ
NSE:M&MFIN-EQ
NSE:LTF-EQ
NSE:RTNPOWER-EQ
NSE:EXIDEIND-EQ
NSE:TRIVENI-EQ
NSE:UJJIVANSFB-EQ
NSE:RAMASTEEL-EQ
NSE:PRIMO-EQ
NSE:AUBANK-EQ
NSE:ACMESOLAR-EQ
NSE:STARCEMENT-EQ
NSE:INFIBEAM-EQ
NSE:HUBTOWN-EQ
NSE:543225-EQ
NSE:IFCI-EQ
